FaceID,Azimuth_deg,Elevation_deg
1,90.0,78.3592768632294
2,270.0,-78.3592768632294
3,70.69092174832664,0.0
4,333.434948822922,-65.26658701763353
5,78.3592768632294,0.0
6,258.3592768632294,0.0
7,0.0,19.309078251673345
8,330.86395609120603,0.0
9,0.0,11.640723136770605
10,180.0,-11.640723136770605
11,162.84748153798486,25.509757676567045
12,101.48790106968498,-11.549778486417939
13,22.392770928954917,31.649517219511207
14,337.6072290710451,-31.649517219511207
15,308.97344733686566,51.51660307572177
16,128.97344733686566,-51.51660307572177
17,157.60722907104508,31.649517219511207
18,202.39277092895492,-31.649517219511207
19,211.717474411461,48.07438607418092
20,61.959173206058225,-32.56493247409379
21,28.33996737076423,13.352144566502124
22,331.6600326292358,-13.352144566502124
23,301.717474411461,23.041282036470808
24,121.717474411461,-23.041282036470808
25,151.6600326292358,13.352144566502124
26,208.3399673707642,-13.352144566502124
27,261.05622592084893,22.146963698400267
28,0.0,-19.89029606486228
29,9.462322208025618,11.486576205975469
30,350.5376777919744,-11.486576205975469
31,333.434948822922,28.933220885046087
32,153.434948822922,-28.933220885046087
33,170.53767779197437,11.486576205975469
34,189.46232220802563,-11.486576205975469
35,200.9051574478893,25.036628153598155
36,36.35559453421512,-26.461174671743738
37,11.640723136770605,9.271115866474481
38,348.3592768632294,-9.271115866474481
39,328.282525588539,23.041282036470808
40,148.282525588539,-23.041282036470808
41,168.35927686322938,9.271115866474481
42,191.64072313677062,-9.271115866474481
43,188.9437740791511,22.146963698400267
44,90.0,-19.89029606486228
45,33.69006752597979,18.922923397630566
46,326.30993247402023,-18.922923397630566
47,296.565051177078,28.933220885046087
48,116.56505117707799,-28.933220885046087
49,146.3099324740202,18.922923397630566
50,213.6900675259798,-18.922923397630566
51,244.78820049273097,33.86540920362494
52,267.254229519143,-71.4585903768151
53,28.33996737076423,54.92368029345632
54,331.6600326292358,-54.92368029345632
55,301.717474411461,68.60193109530891
56,121.717474411461,-68.60193109530891
57,151.6600326292358,54.92368029345632
58,208.3399673707642,-54.92368029345632
59,227.51968910661103,59.88742278048966
60,154.08695805398364,-77.09952353866579
61,90.0,78.3592768632294
62,270.0,-78.3592768632294
